mean,median,std,sum,count,q5,q10,q25,q75,q90,q95,feature,group,value,sub_group,sub_value
0.105,0.0,0.31,38.33,365.0,0.0,0.0,0.0,0.02,0.356,0.608,precip,year,1889,,
0.087,0.0,0.25,31.82,365.0,0.0,0.0,0.0,0.01,0.282,0.594,precip,year,1890,,
0.102,0.0,0.29,37.05,365.0,0.0,0.0,0.0,0.04,0.34,0.548,precip,year,1891,,
0.119,0.0,0.306,43.47,366.0,0.0,0.0,0.0,0.03,0.445,0.91,precip,year,1892,,
0.089,0.0,0.242,32.63,365.0,0.0,0.0,0.0,0.01,0.296,0.604,precip,year,1893,,
0.098,0.0,0.35,35.9,365.0,0.0,0.0,0.0,0.01,0.22,0.572,precip,year,1894,,
0.114,0.0,0.384,41.78,365.0,0.0,0.0,0.0,0.02,0.35,0.58,precip,year,1895,,
0.094,0.0,0.324,34.28,366.0,0.0,0.0,0.0,0.01,0.265,0.525,precip,year,1896,,
0.084,0.0,0.261,30.76,365.0,0.0,0.0,0.0,0.02,0.252,0.516,precip,year,1897,,
0.139,0.0,0.346,50.65,365.0,0.0,0.0,0.0,0.06,0.496,0.73,precip,year,1898,,
0.091,0.0,0.263,33.15,365.0,0.0,0.0,0.0,0.01,0.27,0.6,precip,year,1899,,
0.099,0.0,0.307,36.25,365.0,0.0,0.0,0.0,0.01,0.286,0.638,precip,year,1900,,
0.069,0.0,0.25,25.25,365.0,0.0,0.0,0.0,0.01,0.136,0.4,precip,year,1901,,
0.112,0.0,0.353,41.03,365.0,0.0,0.0,0.0,0.03,0.34,0.652,precip,year,1902,,
0.109,0.0,0.364,39.85,365.0,0.0,0.0,0.0,0.02,0.296,0.68,precip,year,1903,,
0.132,0.0,0.397,48.18,366.0,0.0,0.0,0.0,0.02,0.395,0.802,precip,year,1904,,
0.117,0.0,0.371,42.84,365.0,0.0,0.0,0.0,0.02,0.286,0.65,precip,year,1905,,
0.091,0.0,0.378,33.27,365.0,0.0,0.0,0.0,0.02,0.246,0.498,precip,year,1906,,
0.104,0.0,0.295,38.05,365.0,0.0,0.0,0.0,0.02,0.382,0.618,precip,year,1907,,
0.109,0.0,0.357,39.93,366.0,0.0,0.0,0.0,0.01,0.41,0.678,precip,year,1908,,
0.112,0.0,0.305,40.85,365.0,0.0,0.0,0.0,0.03,0.342,0.768,precip,year,1909,,
0.103,0.0,0.357,37.74,365.0,0.0,0.0,0.0,0.01,0.276,0.514,precip,year,1910,,
0.088,0.0,0.286,32.2,365.0,0.0,0.0,0.0,0.01,0.246,0.518,precip,year,1911,,
0.088,0.0,0.28,32.3,366.0,0.0,0.0,0.0,0.01,0.205,0.61,precip,year,1912,,
0.097,0.0,0.283,35.42,365.0,0.0,0.0,0.0,0.01,0.306,0.608,precip,year,1913,,
0.12,0.0,0.472,43.62,365.0,0.0,0.0,0.0,0.02,0.268,0.566,precip,year,1914,,
0.131,0.0,0.348,47.65,365.0,0.0,0.0,0.0,0.05,0.418,0.774,precip,year,1915,,
0.116,0.0,0.37,42.5,366.0,0.0,0.0,0.0,0.01,0.315,0.628,precip,year,1916,,
0.081,0.0,0.274,29.66,365.0,0.0,0.0,0.0,0.01,0.18,0.534,precip,year,1917,,
0.095,0.0,0.314,34.69,365.0,0.0,0.0,0.0,0.01,0.266,0.56,precip,year,1918,,
0.087,0.0,0.298,31.69,365.0,0.0,0.0,0.0,0.01,0.252,0.53,precip,year,1919,,
0.114,0.0,0.359,41.62,366.0,0.0,0.0,0.0,0.01,0.35,0.638,precip,year,1920,,
0.113,0.0,0.38,41.24,365.0,0.0,0.0,0.0,0.01,0.3,0.6,precip,year,1921,,
0.087,0.0,0.279,31.82,365.0,0.0,0.0,0.0,0.01,0.236,0.538,precip,year,1922,,
0.103,0.0,0.306,37.74,365.0,0.0,0.0,0.0,0.03,0.326,0.636,precip,year,1923,,
0.093,0.0,0.237,34.03,366.0,0.0,0.0,0.0,0.03,0.305,0.6,precip,year,1924,,
0.105,0.0,0.292,38.18,365.0,0.0,0.0,0.0,0.02,0.34,0.672,precip,year,1925,,
0.097,0.0,0.321,35.38,365.0,0.0,0.0,0.0,0.02,0.3,0.546,precip,year,1926,,
0.122,0.0,0.353,44.41,365.0,0.0,0.0,0.0,0.02,0.36,0.756,precip,year,1927,,
0.113,0.0,0.423,41.42,366.0,0.0,0.0,0.0,0.02,0.325,0.588,precip,year,1928,,
0.119,0.01,0.371,43.32,365.0,0.0,0.0,0.0,0.03,0.352,0.75,precip,year,1929,,
0.08,0.0,0.236,29.08,365.0,0.0,0.0,0.0,0.01,0.196,0.51,precip,year,1930,,
0.114,0.0,0.324,41.66,365.0,0.0,0.0,0.0,0.04,0.39,0.676,precip,year,1931,,
0.075,0.0,0.214,27.53,366.0,0.0,0.0,0.0,0.01,0.23,0.508,precip,year,1932,,
0.076,0.0,0.226,27.69,365.0,0.0,0.0,0.0,0.01,0.2,0.6,precip,year,1933,,
0.076,0.0,0.224,27.67,365.0,0.0,0.0,0.0,0.01,0.21,0.46,precip,year,1934,,
0.095,0.0,0.256,34.51,365.0,0.0,0.0,0.0,0.02,0.318,0.596,precip,year,1935,,
0.06,0.0,0.202,22.07,366.0,0.0,0.0,0.0,0.01,0.14,0.378,precip,year,1936,,
0.07,0.0,0.219,25.6,365.0,0.0,0.0,0.0,0.01,0.146,0.546,precip,year,1937,,
0.103,0.0,0.321,37.5,365.0,0.0,0.0,0.0,0.01,0.276,0.716,precip,year,1938,,
0.096,0.0,0.38,35.14,365.0,0.0,0.0,0.0,0.01,0.196,0.498,precip,year,1939,,
0.091,0.0,0.246,33.3,366.0,0.0,0.0,0.0,0.01,0.355,0.625,precip,year,1940,,
0.13,0.01,0.366,47.38,365.0,0.0,0.0,0.0,0.04,0.41,0.744,precip,year,1941,,
0.114,0.0,0.311,41.72,365.0,0.0,0.0,0.0,0.03,0.36,0.698,precip,year,1942,,
0.077,0.0,0.218,28.02,365.0,0.0,0.0,0.0,0.01,0.216,0.478,precip,year,1943,,
0.138,0.0,0.408,50.38,366.0,0.0,0.0,0.0,0.02,0.38,0.86,precip,year,1944,,
0.098,0.0,0.257,35.9,365.0,0.0,0.0,0.0,0.03,0.326,0.686,precip,year,1945,,
0.088,0.0,0.27,32.15,365.0,0.0,0.0,0.0,0.01,0.206,0.628,precip,year,1946,,
0.129,0.0,0.382,46.97,365.0,0.0,0.0,0.0,0.02,0.404,0.73,precip,year,1947,,
0.086,0.0,0.249,31.53,366.0,0.0,0.0,0.0,0.01,0.23,0.633,precip,year,1948,,
0.116,0.0,0.295,42.46,365.0,0.0,0.0,0.0,0.03,0.466,0.716,precip,year,1949,,
0.084,0.0,0.274,30.68,365.0,0.0,0.0,0.0,0.01,0.206,0.504,precip,year,1950,,
0.128,0.01,0.283,46.77,365.0,0.0,0.0,0.0,0.1,0.478,0.714,precip,year,1951,,
0.096,0.0,0.324,35.09,366.0,0.0,0.0,0.0,0.01,0.265,0.622,precip,year,1952,,
0.059,0.0,0.181,21.51,365.0,0.0,0.0,0.0,0.01,0.18,0.42,precip,year,1953,,
0.077,0.0,0.246,28.11,365.0,0.0,0.0,0.0,0.01,0.17,0.5,precip,year,1954,,
0.086,0.0,0.274,31.23,365.0,0.0,0.0,0.0,0.01,0.17,0.556,precip,year,1955,,
0.073,0.0,0.212,26.64,366.0,0.0,0.0,0.0,0.01,0.195,0.488,precip,year,1956,,
0.102,0.0,0.325,37.39,365.0,0.0,0.0,0.0,0.03,0.272,0.658,precip,year,1957,,
0.111,0.0,0.345,40.44,365.0,0.0,0.0,0.0,0.01,0.34,0.632,precip,year,1958,,
